timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715406339693,48,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-20,text,false,,2629,0,158,1428,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,48
1715406339713,28,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-34,text,false,,2629,0,160,1428,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,28
1715406339713,28,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-30,text,false,,2629,0,162,1429,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,28
1715406339713,28,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-35,text,false,,2629,0,162,1431,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,28
1715406339716,26,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-36,text,false,,2629,0,169,1431,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,26
1715406339716,26,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-23,text,false,,2629,0,170,1431,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,26
1715406339718,24,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-37,text,false,,2629,0,174,1438,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,24
1715406339718,24,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-24,text,false,,2629,0,174,1438,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,24
1715406339720,22,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-22,text,false,,2629,0,179,1440,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,22
1715406339720,22,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-11,text,false,,2629,0,180,1438,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,22
1715406339721,21,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-39,text,false,,2629,0,180,1437,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,21
1715406339722,21,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-19,text,false,,2629,0,183,1440,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,21
1715406339722,21,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-8,text,false,,2629,0,184,1441,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,21
1715406339723,20,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-15,text,false,,2629,0,184,1436,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,20
1715406339724,19,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-13,text,false,,2629,0,184,1435,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,19
1715406339724,19,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-5,text,false,,2629,0,184,1434,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,19
1715406339724,19,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-2,text,false,,2629,0,184,1434,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,19
1715406339724,19,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-12,text,false,,2629,0,184,1434,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,19
1715406339724,19,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-9,text,false,,2629,0,184,1434,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,19
1715406339725,18,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-17,text,false,,2629,0,184,1432,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,18
1715406339725,18,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-25,text,false,,2629,0,184,1430,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,18
1715406339726,18,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-38,text,false,,2629,0,185,1432,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,18
1715406339726,18,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-41,text,false,,2629,0,185,1430,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,18
1715406339726,18,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-42,text,false,,2629,0,185,1429,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,18
1715406339730,14,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-44,text,false,,2629,0,185,1428,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,14
1715406339730,15,Candidate Data,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 5-43,text,false,,2629,0,185,1427,http://localhost/orangehrm-5.6/web/index.php/maintenance/purgeCandidateData,0,0,14
